id,age,gender,marital_status,occupation,monthly_income,educational_qualifications,family_size,latitude,longitude,pin_code,output,feedback
1,20,Female,Single,Student,No Income,Post Graduate,4,12.9766,77.5993,560001,Yes,Positive
2,24,Female,Single,Student,Below Rs.10000,Graduate,3,12.977,77.5773,560009,Yes,Positive
3,22,Male,Single,Student,Below Rs.10000,Post Graduate,3,12.9551,77.6593,560017,Yes,Negative 
4,22,Female,Single,Student,No Income,Graduate,6,12.9473,77.5616,560019,Yes,Positive
5,22,Male,Single,Student,Below Rs.10000,Post Graduate,4,12.985,77.5533,560010,Yes,Positive
6,27,Female,Married,Employee,More than 50000,Post Graduate,2,12.9299,77.6848,560103,Yes,Positive
7,22,Male,Single,Student,No Income,Graduate,3,12.977,77.5773,560009,Yes,Positive
8,24,Female,Single,Student,No Income,Post Graduate,3,12.9828,77.6131,560042,Yes,Positive
9,23,Female,Single,Student,No Income,Post Graduate,2,12.9766,77.5993,560001,Yes,Positive
10,23,Female,Single,Student,No Income,Post Graduate,4,12.9854,77.7081,560048,Yes,Positive
11,22,Female,Single,Student,No Income,Post Graduate,5,12.985,77.5533,560010,Yes,Positive
12,23,Male,Single,Student,Below Rs.10000,Post Graduate,2,12.977,77.5773,560009,Yes,Negative 
13,23,Male,Single,Student,No Income,Post Graduate,5,12.8988,77.5764,560078,Yes,Positive
14,21,Male,Single,Student,No Income,Graduate,4,12.977,77.5773,560009,Yes,Positive
15,23,Female,Single,Self Employeed,10001 to 25000,Post Graduate,5,12.9438,77.5738,560004,Yes,Positive
16,24,Female,Single,Student,No Income,Post Graduate,6,12.8893,77.6399,560068,Yes,Positive
17,28,Female,Single,Employee,25001 to 50000,Post Graduate,2,12.9783,77.6408,560038,Yes,Positive
18,23,Female,Single,Student,No Income,Graduate,3,12.982,77.6256,560008,Yes,Negative 
19,25,Male,Single,Student,No Income,Graduate,4,12.8988,77.5764,560078,Yes,Negative 
20,21,Female,Single,Student,Below Rs.10000,Post Graduate,1,12.9783,77.6408,560038,Yes,Positive
21,24,Male,Single,Student,No Income,Post Graduate,3,12.977,77.5773,560009,Yes,Positive
22,22,Male,Single,Student,No Income,Post Graduate,4,13.0298,77.6047,560032,Yes,Positive
23,22,Female,Single,Student,No Income,Graduate,4,12.9983,77.6409,560033,Yes,Positive
24,23,Male,Single,Student,No Income,Graduate,4,12.9925,77.5633,560021,Yes,Positive
25,21,Male,Single,Student,Below Rs.10000,Post Graduate,3,12.9306,77.5434,560085,Yes,Positive
26,25,Male,Single,Student,No Income,Post Graduate,3,12.982,77.6256,560008,Yes,Positive
27,22,Female,Single,Student,No Income,Post Graduate,5,12.9353,77.5585,560050,Yes,Positive
28,22,Male,Single,Student,No Income,Post Graduate,3,12.9155,77.5135,560098,Yes,Positive
29,23,Female,Single,Employee,10001 to 25000,Graduate,3,12.9854,77.7081,560048,Yes,Positive
30,22,Male,Single,Student,Below Rs.10000,Post Graduate,4,13.0019,77.5713,560003,Yes,Positive
31,22,Female,Single,Employee,10001 to 25000,Graduate,5,12.9698,77.75,560066,Yes,Positive
32,22,Male,Single,Student,No Income,Post Graduate,4,12.9783,77.6408,560038,Yes,Positive
33,25,Male,Married,Employee,More than 50000,Ph.D,4,12.9261,77.6221,560034,Yes,Positive
34,22,Female,Single,Student,10001 to 25000,Post Graduate,5,12.985,77.5533,560010,Yes,Positive
35,22,Female,Single,Student,No Income,Post Graduate,2,12.9119,77.6446,560102,Yes,Positive
36,25,Male,Single,Student,10001 to 25000,Post Graduate,3,12.9306,77.5434,560085,Yes,Positive
37,25,Male,Single,Student,No Income,Post Graduate,5,12.977,77.5773,560009,No,Positive
38,32,Female,Prefer not to say,House wife,No Income,Graduate,5,12.982,77.6256,560008,Yes,Negative 
39,23,Female,Single,Student,No Income,Post Graduate,3,12.9438,77.5738,560004,Yes,Positive
40,23,Female,Single,Student,No Income,Post Graduate,4,12.8988,77.5764,560078,Yes,Positive
41,30,Male,Married,Self Employeed,More than 50000,Uneducated,4,12.9662,77.6068,560025,Yes,Negative 
42,23,Male,Single,Student,No Income,Graduate,3,12.9565,77.5484,560026,Yes,Positive
43,23,Male,Single,Student,No Income,Post Graduate,4,12.9925,77.5633,560021,Yes,Positive
44,22,Female,Single,Student,No Income,Post Graduate,5,12.985,77.5533,560010,Yes,Positive
45,22,Male,Single,Student,No Income,Graduate,5,12.985,77.5533,560010,Yes,Positive
46,27,Female,Married,Self Employeed,10001 to 25000,Post Graduate,2,12.9261,77.6221,560034,Yes,Positive
47,24,Female,Single,Student,No Income,Post Graduate,3,12.977,77.5773,560009,Yes,Positive
48,23,Male,Single,Student,No Income,Post Graduate,2,12.977,77.5773,560009,Yes,Positive
49,23,Female,Single,Student,No Income,Graduate,3,12.982,77.6256,560008,Yes,Negative 
50,22,Female,Single,Student,10001 to 25000,Post Graduate,5,12.985,77.5533,560010,Yes,Positive
51,23,Female,Single,Student,No Income,Graduate,5,13.0206,77.6479,560043,Yes,Positive
52,23,Female,Single,Student,No Income,Post Graduate,2,12.977,77.5773,560009,Yes,Positive
53,24,Male,Single,Student,No Income,Post Graduate,3,12.977,77.5773,560009,Yes,Positive
54,25,Male,Single,Student,No Income,Post Graduate,2,12.9635,77.5821,560002,Yes,Positive
55,22,Male,Single,Student,No Income,Post Graduate,3,12.9306,77.5434,560085,Yes,Positive
56,28,Female,Married,Student,No Income,Graduate,2,13.0067,77.545,560086,Yes,Positive
57,22,Female,Single,Student,No Income,Post Graduate,1,12.8845,77.6036,560076,Yes,Positive
58,24,Female,Single,Student,No Income,Graduate,3,12.977,77.5773,560009,Yes,Positive
59,31,Male,Married,Employee,More than 50000,Ph.D,5,12.9119,77.6446,560102,Yes,Positive
60,25,Male,Single,Student,No Income,Post Graduate,4,13.0067,77.545,560086,Yes,Positive
61,23,Male,Single,Student,No Income,Post Graduate,5,12.8988,77.5764,560078,Yes,Positive
62,22,Male,Single,Student,No Income,Post Graduate,3,12.8845,77.6036,560076,Yes,Positive
63,23,Male,Single,Student,25001 to 50000,Post Graduate,1,13.0158,77.539,560096,Yes,Positive
64,23,Male,Single,Student,No Income,Graduate,4,12.9343,77.6044,560029,Yes,Positive
65,23,Female,Single,Student,No Income,Post Graduate,2,13.0019,77.5713,560003,Yes,Positive
66,25,Male,Single,Student,No Income,Post Graduate,6,13.0012,77.5995,560046,Yes,Positive
67,24,Male,Single,Employee,10001 to 25000,Graduate,4,12.9442,77.6076,560030,Yes,Positive
68,23,Female,Single,Student,No Income,Post Graduate,4,13.0487,77.5923,560024,Yes,Positive
69,23,Female,Single,Student,No Income,Post Graduate,4,13.0487,77.5923,560024,Yes,Positive
70,24,Female,Married,Employee,More than 50000,Ph.D,4,12.9438,77.5738,560004,Yes,Positive
71,22,Male,Single,Student,No Income,Graduate,4,12.9889,77.5741,560020,Yes,Positive
72,24,Female,Single,Student,10001 to 25000,Post Graduate,3,12.9335,77.5691,560028,No,Positive
73,25,Female,Single,Student,No Income,Post Graduate,3,12.9766,77.5993,560001,Yes,Positive
74,23,Male,Single,Student,No Income,Post Graduate,2,12.8845,77.6036,560076,Yes,Positive
75,26,Male,Single,Student,No Income,Post Graduate,4,13.0019,77.5713,560003,Yes,Positive
76,24,Female,Single,Student,25001 to 50000,Post Graduate,3,13.102,77.5864,560064,Yes,Positive
77,26,Male,Single,Student,No Income,Post Graduate,4,12.9048,77.6821,560036,Yes,Positive
78,21,Male,Single,Student,No Income,Graduate,4,12.977,77.5773,560009,Yes,Positive
79,22,Female,Single,Student,No Income,Post Graduate,3,12.977,77.5773,560009,Yes,Positive
80,24,Male,Single,Student,No Income,Post Graduate,5,12.9337,77.59,560011,Yes,Positive
81,24,Male,Single,Student,10001 to 25000,Post Graduate,4,12.9037,77.5376,560061,Yes,Positive
82,23,Female,Single,Student,No Income,Post Graduate,3,12.977,77.5773,560009,Yes,Positive
83,23,Male,Single,Student,No Income,Post Graduate,3,12.9343,77.6044,560029,Yes,Positive
84,22,Male,Single,Student,No Income,Post Graduate,3,12.9438,77.5738,560004,Yes,Positive
85,23,Male,Single,Student,No Income,Post Graduate,3,12.977,77.5773,560009,Yes,Positive
86,24,Female,Single,Student,No Income,Post Graduate,4,12.9783,77.6408,560038,Yes,Positive
87,24,Male,Single,Student,No Income,Post Graduate,5,12.9337,77.59,560011,Yes,Positive
88,25,Male,Single,Student,No Income,Graduate,1,12.977,77.5773,560009,Yes,Positive
89,25,Male,Single,Student,No Income,Post Graduate,5,12.977,77.5773,560009,No,Positive
90,28,Male,Married,Self Employeed,10001 to 25000,Graduate,2,13.0289,77.54,560022,No,Negative 
91,27,Female,Prefer not to say,Employee,25001 to 50000,Post Graduate,5,13.0289,77.54,560022,No,Positive
92,26,Male,Single,Self Employeed,10001 to 25000,Ph.D,1,12.9698,77.75,560066,No,Positive
93,22,Male,Single,Student,No Income,Post Graduate,2,12.977,77.5773,560009,Yes,Positive
94,24,Female,Single,Student,No Income,Post Graduate,3,12.977,77.5773,560009,Yes,Positive
95,23,Male,Single,Student,No Income,Post Graduate,1,12.9561,77.5921,560027,Yes,Positive
96,25,Male,Single,Student,No Income,Graduate,1,12.977,77.5773,560009,Yes,Positive
97,23,Female,Single,Student,No Income,Graduate,5,13.0206,77.6479,560043,Yes,Positive
98,23,Female,Single,Student,No Income,Graduate,5,13.0206,77.6479,560043,Yes,Positive
99,26,Male,Married,Employee,25001 to 50000,Graduate,5,12.9579,77.6309,560007,No,Positive
100,32,Female,Married,House wife,No Income,Uneducated,3,13.014,77.5658,560012,No,Positive
101,24,Female,Single,Student,10001 to 25000,Post Graduate,3,12.9335,77.5691,560028,No,Positive
102,23,Male,Single,Student,No Income,Post Graduate,2,12.9442,77.6076,560030,Yes,Positive
103,22,Female,Single,Employee,10001 to 25000,Graduate,3,12.9698,77.75,560066,Yes,Positive
104,24,Female,Single,Student,No Income,Ph.D,3,12.9438,77.5738,560004,Yes,Positive
105,26,Male,Single,Employee,25001 to 50000,Graduate,2,12.9261,77.6221,560034,Yes,Negative 
106,28,Male,Married,Employee,More than 50000,Graduate,3,12.9698,77.75,560066,No,Positive
107,26,Male,Single,Employee,More than 50000,Post Graduate,2,12.9698,77.75,560066,No,Positive
108,25,Male,Single,Student,No Income,Post Graduate,1,12.9343,77.6044,560029,Yes,Positive
109,25,Male,Single,Employee,Below Rs.10000,Graduate,2,12.9698,77.75,560066,No,Positive
110,18,Male,Single,Student,No Income,Graduate,5,12.9635,77.5821,560002,Yes,Positive
111,21,Male,Single,Student,No Income,Post Graduate,4,12.977,77.5773,560009,Yes,Positive
112,25,Male,Single,Student,No Income,Post Graduate,1,12.9343,77.6044,560029,Yes,Positive
113,25,Male,Single,Student,Below Rs.10000,Post Graduate,2,12.9925,77.5633,560021,Yes,Positive
